|№   |  Дата/время   | Температура | Осадки (мм)  |
| -- | ------------- | ----------- | ------------ |
|1   |2026-05-17T00:00|16,6         |0,00          |
|2   |2026-05-17T01:00|15,8         |0,00          |
|3   |2026-05-17T02:00|15,3         |0,00          |
|4   |2026-05-17T03:00|14,9         |0,00          |
|5   |2026-05-17T04:00|14,6         |0,00          |
|6   |2026-05-17T05:00|15,3         |0,00          |
|7   |2026-05-17T06:00|17,2         |0,00          |
|8   |2026-05-17T07:00|20,4         |0,00          |
|9   |2026-05-17T08:00|21,9         |0,00          |
|10  |2026-05-17T09:00|23,5         |0,00          |
|11  |2026-05-17T10:00|24,6         |0,00          |
|12  |2026-05-17T11:00|26,1         |0,00          |
|13  |2026-05-17T12:00|27,1         |0,00          |
|14  |2026-05-17T13:00|26,0         |0,00          |
|15  |2026-05-17T14:00|26,6         |0,00          |
|16  |2026-05-17T15:00|27,6         |0,00          |
|17  |2026-05-17T16:00|27,5         |0,00          |
|18  |2026-05-17T17:00|28,0         |0,00          |
|19  |2026-05-17T18:00|27,1         |0,00          |
|20  |2026-05-17T19:00|25,9         |0,00          |
|21  |2026-05-17T20:00|22,4         |0,00          |
|22  |2026-05-17T21:00|19,8         |0,00          |
|23  |2026-05-17T22:00|18,8         |0,00          |
|24  |2026-05-17T23:00|18,4         |0,00          |
